Sentense,Tag
Здравствуйте.,1.0
"Да, это борода.",1.0
"Я уже спрашивал вас в моем телеграм-канале, вы сказали, окей, го, вот только так надо снимать.",1.0
"Хочу спросить у вас, зрители на ютубе, как вам моя борода?",1.0
"Прошу вас ее не ругать, она молода, она стесняется, ей очень неловко, ей очень неловко прямо сейчас.",1.0
"И как видите,",1.0
"у меня даже и триммера-то не было, потому что я не был готов к бороде.",0.0
"В общем, напишите, как моя борода, а я начинаю выпуск.",0.0
И у меня для вас вопрос.,0.0
Кто из вас был в Омске?,0.0
"Даже если вы не были там ни дня, вы легко запомните схему их метро.",0.0
"Вот она, библиотека имени Пушкина.",0.0
"Да, всего одна станция, и с нее никуда не уедешь, и до нее ниоткуда не доберешься.",0.0
"Зайти в нее по билетику не получится, ведь она законсервирована.",0.0
"В Москве такой проблемы нет, здесь открывается до 10 станций каждый год.",1.0
"Вот не поверите, но я, когда захожу в метро, до сих пор ориентируюсь вот по этой схеме из 2010-го, с одной кольцевой.",1.0
"Хотя на самом деле метро выглядит вот так, и это за 15 лет.",1.0
А вот так подземка должна выглядеть в 2100 году.,1.0
"Представьте, целый отдел инженеров сидит и сочиняет, куда бы им впихнуть очередную ветку.",1.0
"Им нужно учитывать плотность населения, нагрузку на транспорт и особенности ландшафта.",0.0
"Сложная логистическая задача, с которой справится даже плесень.",0.0
"Итак, вашему вниманию, Физарум многоглавый.",0.0
Слизивикой главная звезда научпопа последних 10 лет.,0.0
"Это не растение, не животное и даже не гриб.",0.0
"Он что-то вроде амебы, которая доказывает, что чтобы быть умным, не нужен мозг.",0.0
"У Слизивика его тупо нет, но он за сутки воспроизвел маршруты всех железных дорог вокруг Токио.",0.0
"Только вдумайтесь, как он это сделал?",0.0
Просто хотел есть.,0.0
Слизивик любит овсянку и не любит солнечный свет.,0.0
Эти два факта ученые использовали.,0.0
"Они взяли карту Токио, в местах станции городов разложили овсянку, а там, где горы и озера, через которые нельзя строить, светили Слизивику ярким светом.",0.0
Уже через несколько часов Слизивик начал тянуть к еде свои цитоплазменные тяжи.,0.0
Постепенно он заполнил все пространство и нашел еду.,0.0
Вместе с питательными веществами внутри него стала перетекать и информация.,0.0
"Совсем скоро из всех маршрутов остались только кратчайшие, а остальные буквально растворились.",0.0
Карта готова.,0.0
"Когда ее наложили на существующую сетку железных дорог в Токио, оказалось, что они почти полностью совпали.",0.0
"То есть то, что инженеры проектировали годами, Слизивик воспроизвел за сутки.",0.0
А как это возможно?,0.0
"Дело в том, что ТЗ у людей и АМЕБ были похожими.",0.0
"У инженеров задача проложить линии, затратив минимум материалов.",0.0
"У Слизивика добраться до еды, используя минимум своего тела.",0.0
"Это как ночью дойти до холодильника, не включая мозг.",0.0
Ведь у Слизивика мозга нет.,0.0
"Пока мы думаем, физарум действует.",0.0
"По такому же принципу он воспроизвел железные дороги в Британии, Испании, Португалии и куче других стран.",0.0
Его даже хотели использовать как археолога.,0.0
"Показывайте Слизивику карту Римской империи, а он предсказывает, как могла бы выглядеть дорога между городами.",0.0
"В этих местах вы устраиваете раскопки и находите ту самую дорогу, которую предсказал Слизивик.",0.0
"Хоть в лабиринте его заточите, он все равно найдет из него выход.",0.0
А не слишком ли много для одной АМЕБа переростка?,0.0
"А кто вам сказал, что она здесь одна?",0.0
Физарум неспроста называют многоглавым.,0.0
Когда-то эта лужица плесени состояла из миллионов отдельных особей.,0.0
"Эти белые точки тупые АМЕБы, которые бегают туда-сюда, пожирая субстрат.",0.0
"Но когда еда заканчивается и наступают тяжелые времена, они стекаются в единый организм Слизивика.",0.0
И вот он уже не так глуп.,0.0
Встроит маршруты и даже обладает подобием памяти.,0.0
"Думаете, Слизивик способен на интеллектуальные подвиги только ради еды?",0.0
"Ах вы шовинисты, вы его недооцениваете.",0.0
Он способен еще и ради разножения.,0.0
"Поэтому, когда он чувствует, что конец близок, он отращивает на теле капсулы с потомством, похожие на грибы.",0.0
"Внутри них единственные клетки, которые выживут.",0.0
"Они легкие, и ветер унесет их в другую часть леса, подальше от дерьмовых условий, в которых жил Слизивик.",0.0
"Теперь его дети, тупые АМЕБы, проживут лучшую жизнь, чем он сам.",0.0
А вот теперь самое время задаться вопросом.,0.0
Что вообще происходит?,0.0
"Почему это видео называется РАЕВОЙ ИНТЕЛЛЕКТ, а вы, несколько минут, слушаете захватывающую историю про Слизивика?",0.0
"Все потому, что РАЕВЫМ ИНТЕЛЛЕКТОМ называют его поведение.",0.0
"И для РАЕВОГО ИНТЕЛЛЕКТА не нужен какой-либо мозг или какой-нибудь один, единый центр принятия решения.",0.0
Не нужен.,0.0
Десятки тупых АМЕБ сливаются в умного Слизивика.,0.0
Тысячи муравьев строят мосты и плоты из собственных тел. Термиты возводят целые города в пустынях.,0.0
Птицы летают в слаженный стай.,0.0
"А рыбы косяками вводят в ступор крупных хищников, чтобы те их не съели.",0.0
"Разные существа, как трансформеры, собираются вместе, чтобы выйти на качественно другой уровень жизни.",0.0
"Да, друзья, на нашей планете в разных условиях и в совершенно разном масштабе миллионы глупых организмов, собираясь вместе, обретают нечто напоминающее разум.",0.0
Разум РОЯ.,0.0
"Сейчас вы узнаете, для какой задачи не хватит всего времени на Земле.",0.0
"Как заставить муравья думать, что он умер, а потом вернулся с того света.",0.0
"Что происходит, когда алгоритмы сбоят у миллионов насекомых сразу.",0.0
"Как в пустыне построить дом, который будет охлаждать еще сам себя.",0.0
Как перевести на русский язык пчел.,0.0
Что они там нам говорят и как объясняют друг другу углы и расстояния.,0.0
Почему пчелам нельзя смотреть в зеркало.,0.0
Зачем кальмары во время охоты имитируют свет звезд.,0.0
Как бактерии в кишечнике выбирают хозяевам половых партнеров.,0.0
На что похож самый огромный в мире интеллект.,0.0
И как своими глазами увидеть эволюцию в бутылке.,0.0
Это будет очень интеллектуальный выпуск.,0.0
Садитесь поудобнее.,0.0
Где я?,1.0
И почему я так странно одет?,1.0
"Персидские ковры, интерьеры, суфли Сузуки.",1.0
"Задумывались вы когда-нибудь, как сложно было арендовать подобное жилье, допустим, 150 лет назад?",1.0
Для начала нужно было купить газету.,1.0
Вот шестикомнатная квартира с водопроводом повара Малакеем.,0.0
Выглядела она примерно вот так.,0.0
Но были варианты и попроще.,0.0
"Например, только комната.",0.0
Еще проще.,0.0
Тогда угол в комнате не хватает даже на угол.,0.0
Тогда для вас койка или даже половина койки.,0.0
Это минимальная единица жилья.,0.0
Не умеете читать?,0.0
Не страшно.,0.0
Большинство в то время тоже не умели читать.,0.0
Поэтому для них на окнах висели специальные листки.,0.0
"Синий для съема целой квартиры, белый для комнаты, а зеленый для угла или койки.",0.0
"Позже, уже в Советском Союзе, спрос на дачу и квартиру тоже был высокий.",0.0
Но сдавать все это в аренду уже было нельзя.,0.0
"Поэтому те, кто в командировках и туристы, селились в гостиницах.",0.0
"А если хочешь квартиру или дом для летнего отпуска, приезжай зимой, оставляя залог на свой страх и риск.",0.0
Все эти нелепые проблемы остались в прошлом.,0.0
И для этого выпуска мы сняли вот такой прекрасный эксклюзивный дом.,0.0
"Для того, чтобы показать вам, что на Яндекс.Путешествиях можно снять что угодно.",0.0
"Отели, апартаменты или такие необычные дома.",0.0
Вот собрались вы на выходные в столицу закатов Нижний Новгород.,0.0
Можете поселиться в чистеньком отеле или выбрать апартаменты на набережной и жить почти как местный.,0.0
"А если хотите как в старину, вам доступен целый купеческий клуб.",0.0
Для выбора оптимального варианта всегда можно воспользоваться рейтингом и фильтрами.,0.0
Оплатить вы все это можете любой российской картой без уловок и хитрых схем.,0.0
"А заодно получить кэшбэк не только от банка, но еще и от Яндекс.Путешествий.",0.0
Они возвращают до 20% баллами плюса.,0.0
"Этого хватит, чтобы вызвать таксишку до аэропорта и обратно.",0.0
"Это как если бы вы 150 лет назад сняли бы квартиру, а кэшбэком получили бы еще и извозчика.",0.0
Переходите по ссылке в описании и снимайте отели и апартаменты на любой вкус.,0.0
На Яндекс.Путешествиях.,0.0
А газеты прикольно горят.,0.0
"Йоп, ян.",0.0
Слышали про задачу камевой ежора?,1.0
"Да, это бродячий торговец на Диком Западе, который разъезжает по городам, продает тоник для роста волос, взмены масла от любой болезни и эликсир, конечно же, молодости.",1.0
Вот.,1.0
И другие полезные штуки.,1.0
Да.,1.0
"Которые, конечно же, не работают.",1.0
"И если обман раскроется, торговца повесит.",1.0
"Поэтому задача камевой ежора, конечно же, как можно быстрее объехать все города, не посещая ни один из них дважды.",1.0
Звучит несложно и решить можно простым перебором.,1.0
"Тем более, что для четырех городов вариантов дороги всего три,",1.0
а для пяти – двенадцать.,0.0
"Но давайте посмотрим, что же там будет дальше.",0.0
"Для шести городов вариантов дороги уже шестьдесят, для семи – триста шестьдесят, а для восьми городов – две с половиной тысячи.",0.0
"Уже для шестидесяти шести городов вариантов будет больше, чем частицы во Вселенной.",0.0
"Да, я понимаю, очень сложно в это поверить, конечно, но сами посчитайте.",0.0
"Но есть животные, которые решают задачу камевой ежоры каждый день.",0.0
"А вот догадайся, кто это?",0.0
Это муравьишки.,1.0
"По отдельности, каждый из них беспросветно тут.",1.0
Но вся колония вместе.,1.0
Что?,1.0
"Правильно, роевой интеллект.",1.0
"Но в отличие от слезовика, у муравьев есть свой язык.",1.0
"Да, без звуков, без слов, но язык.",0.0
"И что самое удивительное, для этого языка у нас даже есть разговорник.",0.0
Да.,0.0
И нашел его человек муравей.,0.0
Так в народе прозвали ученого Эдварда Уилсона.,0.0
"Он первый заметил, что если муравей умирает, то первые два дня на него никто не обращает внимания.",0.0
"И только когда он начинает разлагаться, другие муравьи относят его на муравьиное кладбище.",0.0
"Уилсон понял, муравьи не обращают на собрата внимания, потому что у них нет внимания.",0.0
"Муравьи почти слепые и ориентируются по феромонам, так что они тупо не видят мертвого собрата.",0.0
"Но только когда он начинает пованивать, они запускают процедуру похорон.",0.0
"На нашем человеческом это как если бы вы выбрасывали мусор только тогда, когда он начинает пахнуть.",0.0
Ну а муравьиные похороны запускает вот этот феромон.,0.0
Алиновая кислота.,0.0
По цвету похоже на подсолнечное масло.,0.0
По запаху тоже.,0.0
Чувствуется смерть муравья пахнет как подсолнечное масло.,0.0
"Если капнуть на него капельку, он сам пойдет на кладбище и начнет себя закапывать.",1.0
"А как только запах выветривается, зомби поднимается из могилы, умывается и как ни в чем не бывало, идет обратно в муравейник.",1.0
"Ноль вопросов, как и почему он вернулся с того света.",1.0
"Да, абсолютно.",1.0
Просто...,1.0
"Но это не все, что выяснил Уилсон.",1.0
"С помощью других феромонов мы, например, можем задавать направление движения насекомых.",1.0
"Вы можете нарисовать дорожку любой формы, и они будут стараться держаться ее между двумя усиками.",0.0
И двигаться как троллейбус по проводам.,0.0
"Так их можно заставить зигзагами ходить, по пунктирной линии или по дуге.",0.0
То есть мы можем буквально контролировать поведение колонии.,0.0
"Да, при помощи феромонов, конечно, многое не скажешь, но муравью многое не надо.",0.0
Где еда и как туда дойти.,0.0
Вот и все.,0.0
Так как заставить муравья решать задачку камевая жора?,0.0
Нужна бутылочка простого советского сладкого сиропа.,0.0
Инструкция простая.,0.0
Находим муравейник и капаем 10 капель сиропа в нужных местах.,0.0
"Первый муравей чует еду и идет по следу, помечая всю дорогу феромонами.",0.0
"Взял себя немножко, обошел все капли и вернулся в муравейник.",0.0
Потом по его следу пошли другие.,0.0
"Но что важно, каждый следующий пытался понемногу где-то срезать путь, делая дорогу чуть-чуть короче.",0.0
Ну а дальше в силу вступает универсальное муравьинное правило.,0.0
"Если ты чувствуешь муравьиную дорожку, думать здесь нечего, да и нечем.",0.0
Иди по ней.,1.0
Такая простая установка в голове каждого отдельного муравья и кручет шестеренки большого муравьинного рыевого интеллекта.,1.0
"Чем длиннее феромоновая тропа, тем реже по ней ходит, и тем быстрее она испаряется.",1.0
"А чем она короче, тем чаще муравьи пополняют ее запахом,",1.0
и она начинает вонять на весь лес.,0.0
В результате остаются самые вонючие и самые короткие пути.,0.0
"Это как удобные тропинки, по которым ходят люди, обновляя их своими ступнями.",0.0
В то время как длинные и непопулярные дороги зарастают травой.,0.0
Подытожим.,0.0
Для рыевого интеллекта нужно всего два условия.,0.0
"Первое, это огромное количество участников.",0.0
"Второе, это средства информации, которым можно будет обмениваться.",0.0
"Например, феромоны.",0.0
"А кстати, знаете, сколько всего феромонов у муравья?",0.0
"Два, три, тысяча.",0.0
Около двадцати.,0.0
"Одни запускают поиски еды, другие муравьины похороны, третья — социальность.",0.0
"Но есть среди них те, которые заставляют их собраться в мега структуры, как трансформеры.",0.0
"Короче, введите сюда детей к экранам, чтобы они такие, чтооооооо?",0.0
Фуууу.,0.0
"В этом ведре не земля и не навоз, все это огромный комок муравьев.",0.0
"Спасаясь от воды, они сцепились лапками и превратились в месиво, похожее на пластилин.",0.0
